Date,Agric,Food,Soda,Beer,Smoke,Toys,Fun,Books,Hshld,Clths,Hlth,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach,ElcEq,Autos,Aero,Ships,Guns,Gold,Mines,Coal,Oil,Util,Telcm,PerSv,BusSv,Comps,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin,Other
1926-07-31,2.37,0.12,,-5.19,1.29,8.65,2.5,50.21,-0.48,8.08,,4.95,0.91,8.14,,0.39,2.46,-8.21,4.07,,5.43,3.18,16.39,-0.65,1.05,,,5.64,1.54,-1.4,7.04,0.83,,5.85,3.76,1.31,1.35,,7.7,1.92,-23.79,0.07,1.87,4.61,-0.54,2.89,-5.77,5.2
1926-08-31,2.23,2.68,,27.03,6.5,16.81,-0.76,42.98,-3.58,-2.51,,4.2,4.26,5.5,,7.97,4.63,7.37,2.17,,2.06,2.1,4.23,-6.58,1.8,,,0.55,0.85,3.69,-1.69,2.17,,1.51,3.57,-4.7,6.89,,-2.38,4.85,5.39,-0.75,-0.13,11.83,2.57,5.3,0.32,6.76
1926-09-30,-0.57,1.58,,4.02,1.26,8.33,6.42,-4.91,0.73,-0.51,,4.02,-0.26,5.33,,2.3,-0.11,-11.76,0.15,,0.36,-0.56,4.83,-7.09,2.88,,,1.74,0.3,-3.69,2.04,2.41,,0.81,4.23,-6.04,-0.63,,-5.54,0.08,-7.87,0.25,-0.56,-1.75,0.72,-3.06,-4.81,-3.86
1926-10-31,-0.46,-3.68,,-3.31,1.06,-1.4,-5.09,5.37,-4.68,0.12,,3.47,-1.76,-4.76,,1,-4.42,-8.59,-3.85,,1.11,-5.73,-7.93,-13.36,-5.45,,,-3.2,2.23,-1.04,-2.63,-0.11,,1.81,-2.47,-3.92,0.21,,-5.08,-2.62,-15.38,-2.2,-4.11,-11.82,-4.28,-5.74,-0.94,-8.49
1926-11-30,6.75,6.26,,7.29,4.55,0,1.82,-6.4,-0.54,1.87,,4.33,5.76,5.2,,3.1,2.2,2.25,3.86,,3.18,5.08,-0.66,6.61,7.89,,,8.46,-0.48,0.06,3.71,1.63,,0.78,3.28,1.31,4.25,,3.84,1.61,4.67,6.52,4.33,-2.97,3.58,2.21,5.13,4
1926-12-31,-3.27,0.18,,-4.09,2.55,2.48,2.14,-3.29,2.56,0.6,,-3.28,1.15,5.37,,6.39,3.6,0.76,3.75,,5.02,-2.47,10.49,9.17,2.39,,,1.83,1.43,2.94,-0.17,1.99,,5.16,4.38,-0.51,10.14,,-4.63,3.67,9.65,0.57,1.51,-1.06,3.27,7.95,-1.59,-2.34
1927-01-31,-3.66,-0.16,,0.57,-0.35,1.73,1.88,1.21,4.08,-1.06,,5.45,4.93,0.23,,-1.49,-1.85,-3.55,-0.39,,1.19,-1.02,-0.81,-2.29,-0.59,,,4.17,-3.06,1.67,-1.79,1.88,,5.84,0.73,1.48,-3.01,,-2.6,1.41,-17.93,-2.7,1.52,-5.37,-0.82,-1.56,-3.02,-3.96
1927-02-28,7.65,3.66,,12.83,1.49,-6.12,2.43,10.31,4.57,2.77,,5.19,0.68,9.69,,7.66,4.07,8.01,3.67,,7.85,4.3,9.56,-3.91,4.72,,,5.2,5.64,1.13,4.53,3.97,,5.86,6.82,5.82,3.68,,5.46,5.17,3.49,3.47,6.86,8.3,0.66,4.3,1.98,0.28
1927-03-31,-0.6,2.74,,-13.56,5.51,-8.89,1.93,-7.83,-0.08,0.9,,1.25,0.93,6.07,,-5.38,3.42,5.04,1.48,,-2.24,0.4,1.56,0,-1.78,,,4.44,5.45,-7.01,0.37,5.56,,-3.99,5.94,-12.3,6.26,,-9.67,1.02,-20.47,-0.3,-2.42,-7.96,7.34,-4.3,-1.45,2.18
1927-04-30,5.39,2.1,,2.85,4.01,-0.41,-4.05,3.77,1.44,5.95,,-0.37,3.69,2.95,,0.46,-0.73,-8.67,-0.34,,1.82,6.29,2.91,-11.48,-0.61,,,3.02,0.95,-5.78,1.71,-2.13,,0.75,4.73,8.82,1.43,,4.93,0.72,-10.75,4.38,5.92,-5.99,3.09,0.68,8.17,5.27
1927-05-31,4.12,6.62,,11.62,11.8,-4.9,0.61,-1.48,10.54,3.37,,5.88,3.6,3.85,,13.21,7.99,-10.44,3.22,,8.74,8.23,5.54,31.94,10.78,,,0.25,3.19,5,9.21,3.35,,16.77,5.58,-0.14,5.63,,5.36,7.01,-4.01,2.24,4.7,8.69,12.58,4.33,10.56,1.64
1927-06-30,-3.4,-1.94,,10.05,-2.3,-3.52,-8.08,-6,-3.03,1.17,,3.68,-0.39,-1.72,,2.29,-4.49,-13.78,-3.42,,-2.29,3.47,-3.37,14.49,-4.16,,,-1.93,-3.35,-3.14,-3.57,-2.14,,1.41,-1.93,2,5.41,,5.44,-2.04,-4.18,-0.7,1.31,-10.47,0.84,3.59,0.05,-3.82
1927-07-31,6.05,4.83,,4.59,4.39,2.64,0.93,-0.53,5.5,6.01,,11.44,9.33,17.69,,4.35,6.9,-0.8,10.33,,9.61,14.69,13.71,-2.78,12.22,,,8.72,2.19,2.91,5.31,3.73,1.79,2.37,2.53,14.15,6.89,,12.02,5.98,11.11,10.11,4.68,3.34,13.37,3.91,0.76,6.81
1927-08-31,1.99,2.4,,-3.98,3.83,7.38,6.04,0.66,0.52,1.56,,-2.24,1.09,2.1,,0.49,-1.11,-2.11,3.97,,0.9,7.06,7.32,30.16,3.62,,,0.97,2.43,-0.26,3.43,0.43,2.86,7.99,9.68,-11.47,0.75,,3.76,-1.66,-2.58,7.68,0.55,5.04,0.11,2.01,3.07,5.92
1927-09-30,7.33,5.77,,7.01,4.63,0.38,4.72,1.14,2.53,4.65,,8.71,4.7,5.97,,1.89,4.95,-0.97,3.77,,5.3,0.11,6.28,17.65,3.49,,,6.83,1.46,3.5,8.29,6.53,-1.39,7.18,4.93,9.71,3.01,,3.37,4.31,5.6,7.61,5.94,4.55,8.16,-0.22,6.44,0.43
